Site name,Region, Latitude,Longitude,Lab Code,Date BP,SD,d13C,Level,Period,Material type,C14 method,Reference,Radiocarbon/sites,,,,,,,,,,,,,
Los Castillejos,Upper / Middle Guadiana-Guadalquivir,37.26721111,-3.984188889,Ua36209,6085,45,,IX,Neolithic,Seed/Fruit,AMS,Rojo et al. 2012,14,,,,,,,,,,,,,
Los Castillejos,Upper / Middle Guadiana-Guadalquivir,37.26721111,-3.984188889,Ua36210,6100,45,,VII,Neolithic,Seed/Fruit,AMS,Rojo et al. 2012,14,,,,,,,,,,,,,
Los Castillejos,Upper / Middle Guadiana-Guadalquivir,37.26721111,-3.984188889,Ua36212,6240,45,,VI,Neolithic,Seed/Fruit,AMS,Rojo et al. 2012,14,,,,,,,,,,,,,
Los Castillejos,Upper / Middle Guadiana-Guadalquivir,37.26721111,-3.984188889,Ua36213,6120,40,,II,Neolithic,Seed/Fruit,AMS,Rojo et al. 2012,14,,,,,,,,,,,,,
Los Castillejos,Upper / Middle Guadiana-Guadalquivir,37.26721111,-3.984188889,Ua36214,6260,45,,III,Neolithic,Seed/Fruit,AMS,Rojo et al. 2012,14,,,,,,,,,,,,,
Los Castillejos,Upper / Middle Guadiana-Guadalquivir,37.26721111,-3.984188889,Ua36215,6310,45,,I,Neolithic,Seed/Fruit,AMS,Rojo et al. 2012,14,,,,,,,,,,,,,
Los Castillejos,Upper / Middle Guadiana-Guadalquivir,37.26721111,-3.984188889,Ua37834,6090,40,,XIb,Neolithic,Seed/Fruit,AMS,Rojo et al. 2012,14,,,,,,,,,,,,,
Los Castillejos,Upper / Middle Guadiana-Guadalquivir,37.26721111,-3.984188889,Ua37835,6155,45,,Xb,Neolithic,Seed/Fruit,AMS,Rojo et al. 2012,14,,,,,,,,,,,,,
Los Castillejos,Upper / Middle Guadiana-Guadalquivir,37.26721111,-3.984188889,Ua37837,6065,50,,XIa,Neolithic,Seed/Fruit,AMS,Rojo et al. 2012,14,,,,,,,,,,,,,
Los Castillejos,Upper / Middle Guadiana-Guadalquivir,37.26721111,-3.984188889,Ua37838,6095,45,,IX,Neolithic,Seed/Fruit,AMS,Rojo et al. 2012,14,,,,,,,,,,,,,
Los Castillejos,Upper / Middle Guadiana-Guadalquivir,37.26721111,-3.984188889,Ua37839,6130,50,,VIII,Neolithic,Seed/Fruit,AMS,Rojo et al. 2012,14,,,,,,,,,,,,,
